曲名	站	页面id	页数	类型	目录	首图
2013春晚歌曲李健、孙俪风吹麦浪GTP吉他谱总谱分享	jianpucn	208057	2	改编	2013春晚歌曲李健、孙俪风吹麦浪GTP吉他谱总谱分享__jianpucn-208057	/home/caesium-132/jianpu/images-prep/jianpucn-lijian/2013春晚歌曲李健、孙俪风吹麦浪GTP吉他谱总谱分享__jianpucn-208057/001.jpg
2016年	jianpucn	317054	1	简谱	2016年__jianpucn-317054	/home/caesium-132/jianpu/images-prep/jianpucn-pop/2016年__jianpucn-317054/001.jpg
2018	qupu123	307314	1	简谱	2018__qupu123-307314	/home/caesium-132/jianpu/images-prep/qupu123-sweep/2018__qupu123-307314/001.jpg
20飞向大海的夜莺	qupu123	319944	6	简谱	20飞向大海的夜莺（双谱）__qupu123-319944	/home/caesium-132/jianpu/images-prep/qupu123-crawl/20飞向大海的夜莺（双谱）__qupu123-319944/001.jpg
23天空	qupu123	320036	4	简谱	23天空（双谱）__qupu123-320036	/home/caesium-132/jianpu/images-prep/qupu123-sweep/23天空（双谱）__qupu123-320036/001.jpg
23对岸	qupu123	313058	4	简谱	23对岸（双谱）__qupu123-313058	/home/caesium-132/jianpu/images-prep/qupu123-crawl/23对岸（双谱）__qupu123-313058/001.jpg
24腊子口抒怀	qupu123	316600	4	简谱	24腊子口抒怀（双谱）__qupu123-316600	/home/caesium-132/jianpu/images-prep/qupu123-crawl/24腊子口抒怀（双谱）__qupu123-316600/001.jpg
24蓝色乌江	qupu123	313059	5	简谱	24蓝色乌江（双谱）__qupu123-313059	/home/caesium-132/jianpu/images-prep/qupu123-crawl/24蓝色乌江（双谱）__qupu123-313059/001.jpg
25白鸽托起你的梦	qupu123	320038	4	简谱	25白鸽托起你的梦（双谱）__qupu123-320038	/home/caesium-132/jianpu/images-prep/qupu123-crawl/25白鸽托起你的梦（双谱）__qupu123-320038/001.jpg
26	qupu123	313063	5	简谱	26_铺开一片蔚蓝（双谱）__qupu123-313063	/home/caesium-132/jianpu/images-prep/qupu123-crawl/26_铺开一片蔚蓝（双谱）__qupu123-313063/001.jpg
2祖国，我为你尽情歌唱	qupu123	312690	6	简谱	2祖国，我为你尽情歌唱（双谱）__qupu123-312690	/home/caesium-132/jianpu/images-prep/qupu123-crawl/2祖国，我为你尽情歌唱（双谱）__qupu123-312690/001.jpg
31巴郎	qupu123	314954	5	简谱	31巴郎（双谱）__qupu123-314954	/home/caesium-132/jianpu/images-prep/qupu123-crawl/31巴郎（双谱）__qupu123-314954/001.jpg
35月光	qupu123	316904	3	简谱	35月光（双谱）__qupu123-316904	/home/caesium-132/jianpu/images-prep/qupu123-crawl/35月光（双谱）__qupu123-316904/001.jpg
38.5℃	jianpucn	197342	1	简谱	38.5℃__jianpucn-197342	/home/caesium-132/jianpu/images-prep/jianpucn-tianzhen/38.5℃__jianpucn-197342/001.jpg
3国歌唱中华	qupu123	319826	5	简谱	3国歌唱中华（双谱）__qupu123-319826	/home/caesium-132/jianpu/images-prep/qupu123-crawl/3国歌唱中华（双谱）__qupu123-319826/001.jpg
40高山流水	qupu123	320184	4	简谱	40高山流水（双谱）__qupu123-320184	/home/caesium-132/jianpu/images-prep/qupu123-crawl/40高山流水（双谱）__qupu123-320184/001.jpg
41无题	qupu123	320186	4	简谱	41无题（双谱）__qupu123-320186	/home/caesium-132/jianpu/images-prep/qupu123-crawl/41无题（双谱）__qupu123-320186/001.jpg
41霸王别姬	qupu123	317048	10	简谱	41霸王别姬（双谱）（歌剧《刘邦大帝》选段）__qupu123-317048	/home/caesium-132/jianpu/images-prep/qupu123-crawl/41霸王别姬（双谱）（歌剧《刘邦大帝》选段）__qupu123-317048/001.jpg
42在这个冰雪世界中	qupu123	313618	4	简谱	42在这个冰雪世界中（双谱）（（歌剧《守望天山》选段））__qupu123-313618	/home/caesium-132/jianpu/images-prep/qupu123-crawl/42在这个冰雪世界中（双谱）（（歌剧《守望天山》选段））__qupu123-313618/001.jpg
42无词歌	qupu123	320187	3	简谱	42无词歌（双谱）__qupu123-320187	/home/caesium-132/jianpu/images-prep/qupu123-crawl/42无词歌（双谱）__qupu123-320187/001.jpg
43一切就在转眼之间	qupu123	313619	3	简谱	43一切就在转眼之间（双谱）（（歌剧《守望天山》选段））__qupu123-313619	/home/caesium-132/jianpu/images-prep/qupu123-crawl/43一切就在转眼之间（双谱）（（歌剧《守望天山》选段））__qupu123-313619/001.jpg
43你在哪里啊，红莲	qupu123	317050	6	简谱	43你在哪里啊，红莲（双谱）（歌剧《运河谣》选段）__qupu123-317050	/home/caesium-132/jianpu/images-prep/qupu123-crawl/43你在哪里啊，红莲（双谱）（歌剧《运河谣》选段）__qupu123-317050/001.jpg
43冬雪咏叹	qupu123	320337	6	简谱	43冬雪咏叹（双谱）__qupu123-320337	/home/caesium-132/jianpu/images-prep/qupu123-crawl/43冬雪咏叹（双谱）__qupu123-320337/001.jpg
44九泉下望你母子得安宁	qupu123	317051	4	简谱	44九泉下望你母子得安宁（双谱）（歌剧《祝福》选段）__qupu123-317051	/home/caesium-132/jianpu/images-prep/qupu123-crawl/44九泉下望你母子得安宁（双谱）（歌剧《祝福》选段）__qupu123-317051/001.jpg
44你是一个好人	qupu123	313620	3	简谱	44你是一个好人（双谱）（（歌剧《守望天山》选段））__qupu123-313620	/home/caesium-132/jianpu/images-prep/qupu123-crawl/44你是一个好人（双谱）（（歌剧《守望天山》选段））__qupu123-313620/001.jpg
44新不了情	qupu123	320338	2	简谱	44新不了情（双谱）__qupu123-320338	/home/caesium-132/jianpu/images-prep/qupu123-sweep/44新不了情（双谱）__qupu123-320338/001.jpg
45天问	qupu123	317052	8	简谱	45天问（双谱）（歌剧《祝福》选段）__qupu123-317052	/home/caesium-132/jianpu/images-prep/qupu123-crawl/45天问（双谱）（歌剧《祝福》选段）__qupu123-317052/001.jpg
46我心中的好儿郎	qupu123	317053	4	简谱	46我心中的好儿郎（双谱）（歌剧《红河谷》选段）__qupu123-317053	/home/caesium-132/jianpu/images-prep/qupu123-crawl/46我心中的好儿郎（双谱）（歌剧《红河谷》选段）__qupu123-317053/001.jpg
46滚滚长江东逝水	qupu123	320340	2	简谱	46滚滚长江东逝水（双谱）__qupu123-320340	/home/caesium-132/jianpu/images-prep/qupu123-sweep/46滚滚长江东逝水（双谱）__qupu123-320340/001.jpg
46祥林嫂	qupu123	315949	5	简谱	46祥林嫂（双谱）__qupu123-315949	/home/caesium-132/jianpu/images-prep/qupu123-crawl/46祥林嫂（双谱）__qupu123-315949/001.jpg
47啊，鲁迅	qupu123	320341	5	简谱	47啊，鲁迅（双谱）__qupu123-320341	/home/caesium-132/jianpu/images-prep/qupu123-crawl/47啊，鲁迅（双谱）__qupu123-320341/001.jpg
47梦回西藏	qupu123	317054	3	简谱	47梦回西藏（双谱）（歌剧《红河谷》选段）__qupu123-317054	/home/caesium-132/jianpu/images-prep/qupu123-crawl/47梦回西藏（双谱）（歌剧《红河谷》选段）__qupu123-317054/001.jpg
47用我的生命赞美你的名字	qupu123	313625	4	简谱	47用我的生命赞美你的名字（双谱）（（歌剧《红河谷》选段））__qupu123-313625	/home/caesium-132/jianpu/images-prep/qupu123-crawl/47用我的生命赞美你的名字（双谱）（（歌剧《红河谷》选段））__qupu123-313625/001.jpg
48我是头人的女儿	qupu123	313627	5	简谱	48我是头人的女儿（双谱）（（歌剧《红河谷》选段））__qupu123-313627	/home/caesium-132/jianpu/images-prep/qupu123-crawl/48我是头人的女儿（双谱）（（歌剧《红河谷》选段））__qupu123-313627/001.jpg
48朋友，为你点亮篝火	qupu123	317055	6	简谱	48朋友，为你点亮篝火（双谱）（歌剧《红河谷》选段）__qupu123-317055	/home/caesium-132/jianpu/images-prep/qupu123-crawl/48朋友，为你点亮篝火（双谱）（歌剧《红河谷》选段）__qupu123-317055/001.jpg
49-21-La Vie en Rose -Bb-	qupu123	363111	1	改编	49-21-La Vie en Rose -Bb- 五线谱（SMOOTH JAZZ - The Best of Harm__qupu123-363111	/home/caesium-132/jianpu/images-prep/qupu123-hk/49-21-La Vie en Rose -Bb- 五线谱（SMOOTH JAZZ - The Best of Harm__qupu123-363111/001.jpg
49我出生在黄河岸边	qupu123	313628	5	简谱	49我出生在黄河岸边（双谱）（（歌剧《红河谷》选段））__qupu123-313628	/home/caesium-132/jianpu/images-prep/qupu123-crawl/49我出生在黄河岸边（双谱）（（歌剧《红河谷》选段））__qupu123-313628/001.jpg
49这里不是你的家	qupu123	317056	6	简谱	49这里不是你的家（双谱）（歌剧《红河谷》选段）__qupu123-317056	/home/caesium-132/jianpu/images-prep/qupu123-crawl/49这里不是你的家（双谱）（歌剧《红河谷》选段）__qupu123-317056/001.jpg
4祖国在我心中	qupu123	319827	3	简谱	4祖国在我心中（双谱）__qupu123-319827	/home/caesium-132/jianpu/images-prep/qupu123-crawl/4祖国在我心中（双谱）__qupu123-319827/001.jpg
50含着泪，请举起猎枪	qupu123	313629	5	简谱	50含着泪，请举起猎枪（双谱）（（歌剧《红河谷》选段））__qupu123-313629	/home/caesium-132/jianpu/images-prep/qupu123-crawl/50含着泪，请举起猎枪（双谱）（（歌剧《红河谷》选段））__qupu123-313629/001.jpg
50用我的真心称颂你的名字	qupu123	317057	4	简谱	50用我的真心称颂你的名字（双谱）（歌剧《红河谷》选段）__qupu123-317057	/home/caesium-132/jianpu/images-prep/qupu123-crawl/50用我的真心称颂你的名字（双谱）（歌剧《红河谷》选段）__qupu123-317057/001.jpg
51-55页	jianpucn	142	3	简谱	51-55页__jianpucn-142	/home/caesium-132/jianpu/images-prep/jianpucn-pop/51-55页__jianpucn-142/001.jpg
51嫦娥奔月	qupu123	320345	4	简谱	51嫦娥奔月（双谱）__qupu123-320345	/home/caesium-132/jianpu/images-prep/qupu123-crawl/51嫦娥奔月（双谱）__qupu123-320345/001.jpg
51追寻	qupu123	317209	4	简谱	51追寻（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317209	/home/caesium-132/jianpu/images-prep/qupu123-crawl/51追寻（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317209/001.jpg
52卖炭翁	qupu123	320346	7	简谱	52卖炭翁（双谱）__qupu123-320346	/home/caesium-132/jianpu/images-prep/qupu123-crawl/52卖炭翁（双谱）__qupu123-320346/001.jpg
52可是我的爱没有对你表白	qupu123	317210	5	简谱	52可是我的爱没有对你表白（歌剧《永不消逝的电波》选段）__qupu123-317210	/home/caesium-132/jianpu/images-prep/qupu123-crawl/52可是我的爱没有对你表白（歌剧《永不消逝的电波》选段）__qupu123-317210/001.jpg
53最美的一叶藏在心	qupu123	317211	7	简谱	53最美的一叶藏在心（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317211	/home/caesium-132/jianpu/images-prep/qupu123-crawl/53最美的一叶藏在心（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317211/001.jpg
54携手再看旭日红	qupu123	317212	6	简谱	54携手再看旭日红（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317212	/home/caesium-132/jianpu/images-prep/qupu123-crawl/54携手再看旭日红（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317212/001.jpg
57远山	qupu123	320456	3	简谱	57远山（双谱）（歌剧《太阳雪》选段）__qupu123-320456	/home/caesium-132/jianpu/images-prep/qupu123-sweep/57远山（双谱）（歌剧《太阳雪》选段）__qupu123-320456/001.jpg
59秒的忧伤	jianpucn	100613	1	简谱	59秒的忧伤__jianpucn-100613	/home/caesium-132/jianpu/images-prep/jianpucn-pop/59秒的忧伤__jianpucn-100613/001.gif
5我深深地爱你	qupu123	319828	4	简谱	5我深深地爱你（双谱）__qupu123-319828	/home/caesium-132/jianpu/images-prep/qupu123-crawl/5我深深地爱你（双谱）__qupu123-319828/001.jpg
5迎风飘扬的旗	qupu123	312693	5	简谱	5迎风飘扬的旗（双谱）__qupu123-312693	/home/caesium-132/jianpu/images-prep/qupu123-crawl/5迎风飘扬的旗（双谱）__qupu123-312693/001.jpg
61-65页	jianpucn	147	1	简谱	61-65页__jianpucn-147	/home/caesium-132/jianpu/images-prep/jianpucn-pop/61-65页__jianpucn-147/002.jpg
7红旗飘扬	qupu123	312695	5	简谱	7红旗飘扬（双谱）__qupu123-312695	/home/caesium-132/jianpu/images-prep/qupu123-crawl/7红旗飘扬（双谱）__qupu123-312695/001.jpg
86版 主题曲-片头曲 西游记	jianpucn	260953	2	简谱	86版 主题曲-片头曲 西游记__jianpucn-260953	/home/caesium-132/jianpu/images-prep/jianpucn-pop/86版 主题曲-片头曲 西游记__jianpucn-260953/001.jpg
88版中视射雕英雄传片头曲 原野三重唱	jianpucn	282954	1	简谱	88版中视射雕英雄传片头曲 原野三重唱__jianpucn-282954	/home/caesium-132/jianpu/images-prep/jianpucn-pop/88版中视射雕英雄传片头曲 原野三重唱__jianpucn-282954/001.jpg
8号	jianpucn	196329	1	简谱	8号_光阴的故事（简单版）__jianpucn-196329	/home/caesium-132/jianpu/images-prep/jianpucn-luodayou/8号_光阴的故事（简单版）__jianpucn-196329/001.jpg
8如此多娇	qupu123	315410	4	简谱	8如此多娇（双谱）__qupu123-315410	/home/caesium-132/jianpu/images-prep/qupu123-crawl/8如此多娇（双谱）__qupu123-315410/001.jpg
93海阔天空	jianpucn	194129	4	简谱	93海阔天空__jianpucn-194129	/home/caesium-132/jianpu/images-prep/jianpucn-beyond/93海阔天空__jianpucn-194129/001.jpg
99只小白鸽	qupu123	327856	2	简谱	99只小白鸽（同名电视剧主题歌）__qupu123-327856	/home/caesium-132/jianpu/images-prep/qupu123-crawl/99只小白鸽（同名电视剧主题歌）__qupu123-327856/001.jpg
9bang15便士	jianpujia	21793	1	简谱	9bang15便士简谱(歌词)_洛天依演唱_谱友门酱胡安上传__jianpujia-21793	/home/caesium-132/jianpu/images-prep/jianpujia-2719/9bang15便士简谱(歌词)_洛天依演唱_谱友门酱胡安上传__jianpujia-21793/001.png
9你是血脉我是血	qupu123	312697	4	简谱	9你是血脉我是血（双谱）__qupu123-312697	/home/caesium-132/jianpu/images-prep/qupu123-crawl/9你是血脉我是血（双谱）__qupu123-312697/001.jpg
@老乡	qupu123	303960	1	简谱	@老乡__qupu123-303960	/home/caesium-132/jianpu/images-prep/qupu123-sweep/@老乡__qupu123-303960/001.jpg
A	qupu123	371368	1	简谱	A_Puppet's_Dream合唱谱__qupu123-371368	/home/caesium-132/jianpu/images-prep/qupu123-crawl/A_Puppet's_Dream合唱谱__qupu123-371368/001.jpg
A I N Y邓紫棋版钢琴独奏	jianpucn	216114	3	改编	A I N Y邓紫棋版钢琴独奏__jianpucn-216114	/home/caesium-132/jianpu/images-prep/jianpucn-pop/A I N Y邓紫棋版钢琴独奏__jianpucn-216114/001.jpg
A promise	jianpucn	96149	2	简谱	A promise__jianpucn-96149	/home/caesium-132/jianpu/images-prep/jianpucn-pop/A promise__jianpucn-96149/001.jpg
A.I.N.I. 爱你	jianpucn	181562	2	简谱	A.I.N.I. 爱你__jianpucn-181562	/home/caesium-132/jianpu/images-prep/jianpucn-dengziqi/A.I.N.I. 爱你__jianpucn-181562/001.jpg
ABC	qupu123	369970	2	简谱	ABC_Song（abc字母歌）__qupu123-369970	/home/caesium-132/jianpu/images-prep/qupu123-crawl/ABC_Song（abc字母歌）__qupu123-369970/001.jpg
AII I See Is You	jianpucn	118390	2	简谱	AII I See Is You__jianpucn-118390	/home/caesium-132/jianpu/images-prep/jianpucn-pop/AII I See Is You__jianpucn-118390/001.jpg
AOE	jianpucn	226890	1	简谱	AOE（儿童电视专题片《AOE》主题歌） 歌曲简谱__jianpucn-226890	/home/caesium-132/jianpu/images-prep/jianpucn-pop/AOE（儿童电视专题片《AOE》主题歌） 歌曲简谱__jianpucn-226890/001.jpg
After 17	jianpucn	89992	1	简谱	After 17__jianpucn-89992	/home/caesium-132/jianpu/images-prep/jianpucn-pop/After 17__jianpucn-89992/001.gif
Aku Manusia	jianpucn	294055	1	简谱	Aku Manusia__jianpucn-294055	/home/caesium-132/jianpu/images-prep/jianpucn-denglijun/Aku Manusia__jianpucn-294055/001.jpg
Almost a Whisper-雅尼	jianpucn	103619	2	简谱	Almost a Whisper-雅尼__jianpucn-103619	/home/caesium-132/jianpu/images-prep/jianpucn-pop/Almost a Whisper-雅尼__jianpucn-103619/001.gif
Alway onlion	jianpucn	401100	2	简谱	Alway onlion__jianpucn-401100	/home/caesium-132/jianpu/images-prep/jianpucn-linjunjie/Alway onlion__jianpucn-401100/001.jpg
Always Online C调	jianpucn	248070	3	简谱	Always Online C调__jianpucn-248070	/home/caesium-132/jianpu/images-prep/jianpucn-pop/Always Online C调__jianpucn-248070/001.jpg
Always Online 林俊杰	jianpucn	266349	1	简谱	Always Online 林俊杰__jianpucn-266349	/home/caesium-132/jianpu/images-prep/jianpucn-pop/Always Online 林俊杰__jianpucn-266349/001.png
Am Feierabend	jianpucn	195974	2	简谱	Am Feierabend__jianpucn-195974	/home/caesium-132/jianpu/images-prep/jianpucn-pop/Am Feierabend__jianpucn-195974/001.jpg
Amammani BEYOND	jianpucn	263414	1	简谱	Amammani BEYOND__jianpucn-263414	/home/caesium-132/jianpu/images-prep/jianpucn-pop/Amammani BEYOND__jianpucn-263414/001.jpg
Amani —	jianpucn	234085	2	简谱	Amani — （扫描版）__jianpucn-234085	/home/caesium-132/jianpu/images-prep/jianpucn-beyond/Amani — （扫描版）__jianpucn-234085/001.jpg
Amani完美版	jianpucn	470927	2	简谱	Amani完美版__jianpucn-470927	/home/caesium-132/jianpu/images-prep/jianpucn-beyond/Amani完美版__jianpucn-470927/001.jpg
Amani指弹	jianpucn	457321	4	改编	Amani指弹 （ 吉他独奏 ）__jianpucn-457321	/home/caesium-132/jianpu/images-prep/jianpucn-beyond/Amani指弹 （ 吉他独奏 ）__jianpucn-457321/001.jpg
Angel钢琴	jianpujia	245440	3	改编	Angel钢琴简谱_陶喆演唱__jianpujia-245440	/home/caesium-132/jianpu/images-prep/jianpujia-3777/Angel钢琴简谱_陶喆演唱__jianpujia-245440/001.png
Are	qupu123	379741	3	简谱	Are_You_Ready__qupu123-379741	/home/caesium-132/jianpu/images-prep/qupu123-crawl/Are_You_Ready__qupu123-379741/001.jpg
Asian Dream Song	jianpucn	103428	3	简谱	Asian Dream Song__jianpucn-103428	/home/caesium-132/jianpu/images-prep/jianpucn-pop/Asian Dream Song__jianpucn-103428/001.gif
Auld lang syne 往日的时光	jianpucn	61806	6	简谱	Auld lang syne 往日的时光（苏格兰、中英文）__jianpucn-61806	/home/caesium-132/jianpu/images-prep/ready5/Auld lang syne 往日的时光（苏格兰、中英文）__jianpucn-61806/001.jpg
BEYOND 不再犹豫	qupu123	368573	3	改编	BEYOND 不再犹豫 吉他谱（无限延音编配）__qupu123-368573	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 不再犹豫 吉他谱（无限延音编配）__qupu123-368573/001.jpg
BEYOND 交织千个心	qupu123	368574	3	改编	BEYOND 交织千个心 吉他谱（无限延音编配）__qupu123-368574	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 交织千个心 吉他谱（无限延音编配）__qupu123-368574/001.jpg
BEYOND 你知道我的迷惘	qupu123	368580	3	改编	BEYOND 你知道我的迷惘 吉他谱（无限延音编配）__qupu123-368580	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 你知道我的迷惘 吉他谱（无限延音编配）__qupu123-368580/001.jpg
BEYOND 冷雨夜	qupu123	368491	4	改编	BEYOND 冷雨夜 吉他谱（无限延音编配）__qupu123-368491	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 冷雨夜 吉他谱（无限延音编配）__qupu123-368491/001.jpg
BEYOND 大地	qupu123	368572	3	改编	BEYOND 大地 吉他谱（无限延音编配）__qupu123-368572	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 大地 吉他谱（无限延音编配）__qupu123-368572/001.jpg
BEYOND 情人	qupu123	368576	4	改编	BEYOND 情人 吉他谱（无限延音编配）__qupu123-368576	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 情人 吉他谱（无限延音编配）__qupu123-368576/001.jpg
BEYOND 旧日的足迹	qupu123	368575	4	改编	BEYOND 旧日的足迹 吉他谱（无限延音编配）__qupu123-368575	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 旧日的足迹 吉他谱（无限延音编配）__qupu123-368575/001.jpg
BEYOND 昔日舞曲	qupu123	368582	3	改编	BEYOND 昔日舞曲 吉他谱（无限延音编配）__qupu123-368582	/home/caesium-132/jianpu/images-prep/qupu123-beyond/BEYOND 昔日舞曲 吉他谱（无限延音编配）__qupu123-368582/001.jpg
